"EvergreenName","Application","CommunityPackageId","CommunityVersion","EvergreenVersion","Published","VersionMismatch","StaleDays","LastChecked","AmbiguousMatch"
"MicrosoftOfficeDeploymentTool","Microsoft Office Deployment Tool","","","16.0.20228.20124","","False","","2026-08-22","False"
"MicrosoftOLEDBDriverForSQLServer","Microsoft OLE DB Driver for SQL Server (latest)","","","19.4.2","","False","","2026-08-22","False"
"MicrosoftOLEDBDriverForSQLServer18","Microsoft OLE DB Driver for SQL Server 18","","","18.7.5","","False","","2026-08-22","False"
"MicrosoftOneDrive","Microsoft OneDrive","onedrive","26.139.720.7","26.160.0818.0001","2026-08-14","True","8","2026-08-22","False"
"MicrosoftOpenJDK11","Microsoft OpenJDK 11","openjdk","25.0.0.1","11.0.32+9","2025-10-06","True","320","2026-08-22","True"
"MicrosoftOpenJDK17","Microsoft OpenJDK 17","openjdk","25.0.0.1","17.0.20+8","2025-10-06","True","319","2026-08-21","True"
"MicrosoftOpenJDK21","Microsoft OpenJDK 21","openjdk","25.0.0.1","21.0.12+8","2025-10-06","True","319","2026-08-21","True"
"MicrosoftOpenJDK25","Microsoft OpenJDK 25","openjdk","25.0.0.1","25.0.4+7","2025-10-06","True","319","2026-08-21","True"
"MicrosoftOutlook","Microsoft Outlook","","","1.2026.730.100","","False","","2026-08-21","False"
"MicrosoftPowerAutomateDesktop","Microsoft Power Automate Desktop","","","2.60.154.25253","","False","","2026-08-21","False"
"MicrosoftPowerBI","Microsoft Power BI","","","2.157.879.0","","False","","2026-08-21","False"
"MicrosoftPowerBIALMToolkit","Microsoft Power BI ALM Toolkit","toolkit","0.7.6","5.1.20","2025-03-14","True","525","2026-08-21","False"
"MicrosoftPowerShell","Microsoft PowerShell","PowerShell","5.1.14409.20180811","7.6.4","2018-08-11","True","2932","2026-08-21","True"
"MicrosoftPowerToys","Microsoft PowerToys","powertoys","0.100.2","0.100.2","2026-06-26","False","56","2026-08-21","False"
"MicrosoftScout","Microsoft Scout","","","0.23.578","","False","","2026-08-21","False"
"MicrosoftSsms","Microsoft SQL Server Management Studio 22","studio","2.26.5.1","22.9.1","2026-06-06","True","76","2026-08-21","True"
"MicrosoftSsms20","Microsoft SQL Server Management Studio 20","studio","2.26.5.1","20.2.1","2026-06-06","True","76","2026-08-21","True"
"MicrosoftSsms21","Microsoft SQL Server Management Studio 21","studio","2.26.5.1","21.6.17","2026-06-06","True","76","2026-08-21","True"
"MicrosoftTeams","Microsoft Teams","","","26213.1006.5014.9784","","False","","2026-08-21","False"
"MicrosoftTerminal","Microsoft Terminal","","","1.24.11911.0","","False","","2026-08-21","False"
"MicrosoftVdot","Microsoft Virtual Desktop Optimization Tool","","","3.0.2009.0","","False","","2026-08-21","False"
